DATE,GEO,CATEGORY,VALUE
2020-01-01,Alberta,house,97.2
2020-01-01,Atlantic Region,house,101
2020-01-01,British Columbia,house,105.5
2020-01-01,"Calgary, Alberta",house,96.9
2020-01-01,Canada,house,103.4
2020-01-01,"Charlottetown, Prince Edward Island",house,102
2020-01-01,"Edmonton, Alberta",house,97.6
2020-01-01,"Greater Sudbury, Ontario",house,102.7
2020-01-01,"Guelph, Ontario",house,107
2020-01-01,"Halifax, Nova Scotia",house,102.9
2020-01-01,"Hamilton, Ontario",house,104.4
2020-01-01,"Kelowna, British Columbia",house,104
2020-01-01,"Kitchener-Cambridge-Waterloo, Ontario",house,107.8
2020-01-01,"London, Ontario",house,114.7
2020-01-01,Manitoba,house,105.3
2020-01-01,"Montréal, Quebec",house,111.9
2020-01-01,New Brunswick,house,102.7
2020-01-01,Newfoundland and Labrador,house,97.4
2020-01-01,Nova Scotia,house,102.9
2020-01-01,Ontario,house,105.4
2020-01-01,"Oshawa, Ontario",house,103.6
2020-01-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",house,119.6
2020-01-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",house,106.2
2020-01-01,Prairie Region,house,97.9
2020-01-01,Prince Edward Island,house,102
2020-01-01,Quebec,house,108.8
2020-01-01,"Québec, Quebec",house,100.9
2020-01-01,"Regina, Saskatchewan",house,93.8
2020-01-01,"Saint John, Fredericton, and Moncton, New Brunswick",house,102.7
2020-01-01,Saskatchewan,house,95.5
2020-01-01,"Saskatoon, Saskatchewan",house,96.4
2020-01-01,"Sherbrooke, Quebec",house,103.9
2020-01-01,"St. Catharines-Niagara, Ontario",house,107.4
2020-01-01,"St. John's, Newfoundland and Labrador",house,97.4
2020-01-01,"Toronto, Ontario",house,102.1
2020-01-01,"Trois-Rivières, Quebec",house,103.1
2020-01-01,"Vancouver, British Columbia",house,106
2020-01-01,"Victoria, British Columbia",house,101.8
2020-01-01,"Windsor, Ontario",house,107.8
2020-01-01,"Winnipeg, Manitoba",house,105.3
2020-02-01,Alberta,house,97.4
2020-02-01,Atlantic Region,house,101.3
2020-02-01,British Columbia,house,105.9
2020-02-01,"Calgary, Alberta",house,97.3
2020-02-01,Canada,house,103.8
2020-02-01,"Charlottetown, Prince Edward Island",house,102
2020-02-01,"Edmonton, Alberta",house,97.5
2020-02-01,"Greater Sudbury, Ontario",house,102.7
2020-02-01,"Guelph, Ontario",house,107.2
2020-02-01,"Halifax, Nova Scotia",house,103.6
2020-02-01,"Hamilton, Ontario",house,104.6
2020-02-01,"Kelowna, British Columbia",house,103.8
2020-02-01,"Kitchener-Cambridge-Waterloo, Ontario",house,108.8
2020-02-01,"London, Ontario",house,114.8
2020-02-01,Manitoba,house,105.5
2020-02-01,"Montréal, Quebec",house,112.8
2020-02-01,New Brunswick,house,102.7
2020-02-01,Newfoundland and Labrador,house,97.4
2020-02-01,Nova Scotia,house,103.6
2020-02-01,Ontario,house,105.9
2020-02-01,"Oshawa, Ontario",house,104.1
2020-02-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",house,120.9
2020-02-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",house,106.5
2020-02-01,Prairie Region,house,98
2020-02-01,Prince Edward Island,house,102
2020-02-01,Quebec,house,109.5
2020-02-01,"Québec, Quebec",house,100.9
2020-02-01,"Regina, Saskatchewan",house,93.3
2020-02-01,"Saint John, Fredericton, and Moncton, New Brunswick",house,102.7
2020-02-01,Saskatchewan,house,95.3
2020-02-01,"Saskatoon, Saskatchewan",house,96.5
2020-02-01,"Sherbrooke, Quebec",house,103.9
2020-02-01,"St. Catharines-Niagara, Ontario",house,108.6
2020-02-01,"St. John's, Newfoundland and Labrador",house,97.4
2020-02-01,"Toronto, Ontario",house,102.5
2020-02-01,"Trois-Rivières, Quebec",house,103.1
2020-02-01,"Vancouver, British Columbia",house,106.4
2020-02-01,"Victoria, British Columbia",house,102.8
2020-02-01,"Windsor, Ontario",house,108.6
2020-02-01,"Winnipeg, Manitoba",house,105.5
2020-03-01,Alberta,house,97.4
2020-03-01,Atlantic Region,house,101.4
2020-03-01,British Columbia,house,106.3
2020-03-01,"Calgary, Alberta",house,97.1
2020-03-01,Canada,house,104.1
2020-03-01,"Charlottetown, Prince Edward Island",house,102
2020-03-01,"Edmonton, Alberta",house,97.8
2020-03-01,"Greater Sudbury, Ontario",house,102.7
2020-03-01,"Guelph, Ontario",house,107.9
2020-03-01,"Halifax, Nova Scotia",house,103.8
2020-03-01,"Hamilton, Ontario",house,105
2020-03-01,"Kelowna, British Columbia",house,103.8
2020-03-01,"Kitchener-Cambridge-Waterloo, Ontario",house,109.4
2020-03-01,"London, Ontario",house,115.5
2020-03-01,Manitoba,house,105.5
2020-03-01,"Montréal, Quebec",house,113.6
2020-03-01,New Brunswick,house,103
2020-03-01,Newfoundland and Labrador,house,97.2
2020-03-01,Nova Scotia,house,103.8
2020-03-01,Ontario,house,106.3
2020-03-01,"Oshawa, Ontario",house,103.5
2020-03-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",house,122.3
2020-03-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",house,107.1
2020-03-01,Prairie Region,house,98
